Attack_ID,Attack_Type,Weight,Num_Attempts,Duration,Headers_Complexity,Payload_Complexity
1,SQLInjection,9,46,23.526,5.272,2.99
2,SQLInjection,9,15,58.168,4.204,1.96
3,Dos,10,25,15.562,5.854,2.847
4,PortScanning,3,94,39.439,4.409,2.553
5,XSSAttack,5,78,19.579,3.852,2.733
6,SQLInjection,9,71,46.431,4.986,2.063
7,BruteForceLogin,7,17,7.939,6.154,2.677
8,Dos,10,84,58.192,4.886,3.003
9,XSSAttack,5,9,27.282,3.788,2.68
10,Dos,10,38,14.239,5.724,2.233
11,XSSAttack,5,48,4.502,5.264,0.977
12,XSSAttack,5,60,10.268,3.239,3.17
13,SQLInjection,9,63,31.234,3.021,2.187
14,Dos,10,86,20.286,2.018,2.337
15,Dos,10,2,49.75,6.044,1.897
16,BruteForceLogin,7,88,25.91,2.305,1.973
17,BruteForceLogin,7,72,14.998,4.49,2.283
18,SQLInjection,9,11,37.067,5.816,2.537
19,SQLInjection,9,64,42.436,5.641,3.42
20,PortScanning,3,77,10.106,3.394,2.363
21,BruteForceLogin,7,81,10.14,5.695,2.79
22,XSSAttack,5,72,2.297,5.488,1.97
23,Dos,10,21,44.21,2.906,1.453
24,SQLInjection,9,18,39.862,2.321,2.883
25,Dos,10,94,28.53,3.787,2.897
26,Dos,10,64,50.666,3.494,2.527
27,PortScanning,3,82,48.36,3.207,2.673
28,BruteForceLogin,7,95,35.163,2.386,3.44
29,SQLInjection,9,38,52.109,6.185,3.067
30,Dos,10,32,12.43,5.802,2.25
31,SQLInjection,9,11,6.804,4.109,3.74
32,XSSAttack,5,45,16.258,5.88,3.197
33,PortScanning,3,89,3.52,5.042,2.573
34,XSSAttack,5,33,31.917,5.665,3.693
35,SQLInjection,9,41,56.203,5.669,2.727
36,SQLInjection,9,8,2.457,4.795,2.84
37,BruteForceLogin,7,11,7.414,5.811,2.583
38,Dos,10,86,27.187,2.137,1.72
39,Dos,10,51,56.039,3.741,1.953
40,XSSAttack,5,88,19.038,2.065,1.62
41,PortScanning,3,41,30.483,4.552,2.563
42,Dos,10,17,2.59,2.222,3.303
43,BruteForceLogin,7,76,8.986,5.055,2.467
44,XSSAttack,5,46,59.199,3.722,2.86
45,XSSAttack,5,32,57.911,5.306,3.1
46,BruteForceLogin,7,79,0.396,5.186,2.307
47,PortScanning,3,80,57.114,6.156,2.197
48,BruteForceLogin,7,54,38.383,2.757,1.96
49,PortScanning,3,86,52.088,2.479,2.953
50,BruteForceLogin,7,92,27.339,3.008,1.773
51,BruteForceLogin,7,20,30.984,4.207,1.43
52,SQLInjection,9,33,29.382,5.526,2.863
53,XSSAttack,5,74,40.045,7.013,2.897
54,BruteForceLogin,7,40,8.465,3.633,2.143
55,BruteForceLogin,7,32,1.895,3.287,1.253
56,Dos,10,97,18.545,5.228,1.503
57,XSSAttack,5,2,42.31,3.357,0.78
58,Dos,10,97,12.191,6.197,2.623
59,XSSAttack,5,33,40.439,4.979,2.993
60,Dos,10,77,58.198,2.717,1.753
61,BruteForceLogin,7,30,5.725,3.52,3.177
62,BruteForceLogin,7,33,40.389,6.65,1.577
63,SQLInjection,9,77,26.681,4.979,3.367
64,Dos,10,26,52.102,3.526,1.31
65,PortScanning,3,22,10.711,4.776,2.307
66,SQLInjection,9,66,41.588,4.117,1.203
67,Dos,10,38,50.303,5.609,1.827
68,Dos,10,90,56.682,3.93,2.65
69,SQLInjection,9,46,41.027,5.967,2.507
70,BruteForceLogin,7,15,29.881,4.092,2.827
71,Dos,10,98,37.109,3.083,2.693
72,BruteForceLogin,7,44,52.147,3.484,2.407
73,SQLInjection,9,49,34.28,4.168,1.463
